Genre,Lon,Lat,Borough,aLevel,Time
N/A,   -73.90459140730678, 40.87919896648574 ,Bronx,Medium,00:00:00
N/A,   -73.92188432870218, 40.82662794123294 ,Bronx,Medium,00:00:00
N/A,   -73.89535781584335, 40.86215460031517 ,Bronx,Medium,00:00:00
N/A,   -73.87892467324478, 40.8812869959873 ,Bronx,Medium,00:00:00
N/A,   -73.88956389732787, 40.84463677671767 ,Bronx,Medium,00:00:00
N/A,   -73.92087824799184, 40.83015855511035 ,Bronx,Medium,00:00:00
N/A,   -73.91635737290386, 40.81688745834867 ,Bronx,Medium,00:00:00
N/A,   -73.86767352599497, 40.85558871971956 ,Bronx,Medium,00:00:00
N/A,   -74.01119296689038, 40.6442668235874 ,Brooklyn,Medium,00:00:00
N/A,   -73.98067647018506, 40.67609353714627 ,Brooklyn,Medium,00:00:00
N/A,   -73.98134205800814, 40.66717415129596 ,Brooklyn,Medium,00:00:00
N/A,   -74.02728680504437, 40.62213882920039 ,Brooklyn,Medium,00:00:00
N/A,   -73.98983165443038, 40.68884781602201 ,Brooklyn,Medium,00:00:00
N/A,   -73.95802234844946, 40.71755737770772 ,Brooklyn,Medium,00:00:00
N/A,   -73.96276340616195, 40.57732714149917 ,Brooklyn,Medium,00:00:00
N/A,   -73.94908133692475, 40.650831467717424 ,Brooklyn,Medium,00:00:00
N/A,   -73.96573732115321, 40.640627393078674 ,Brooklyn,Medium,00:00:00
N/A,   -73.99249336775775, 40.68942537824676 ,Brooklyn,Medium,00:00:00
N/A,   -73.96818725047231, 40.67292523719001 ,Brooklyn,Medium,00:00:00
N/A,   -73.9214952312361, 40.608920821455186 ,Brooklyn,Medium,00:00:00
N/A,   -73.95882184227794, 40.65081053674955 ,Brooklyn,Medium,00:00:00
N/A,   -73.97390965382397, 40.67918699313476 ,Brooklyn,Medium,00:00:00
N/A,   -73.98588670734839, 40.69087186438649 ,Brooklyn,Medium,00:00:00
N/A,   -73.94255463338305, 40.703408264633794 ,Brooklyn,Medium,00:00:00
N/A,   -73.9446668043415, 40.71156922033029 ,Brooklyn,Medium,00:00:00
N/A,   -73.98727479290567, 40.692724140218786 ,Brooklyn,Medium,00:00:00
N/A,   -73.95959352755617, 40.60820146093601 ,Brooklyn,Medium,00:00:00
N/A,   -73.99336426671383, 40.694534861508515 ,Brooklyn,Medium,00:00:00
N/A,   -73.96931991427776, 40.69311464675989 ,Brooklyn,Medium,00:00:00
N/A,   -73.9939968076081, 40.70274648278772 ,Brooklyn,Medium,00:00:00
N/A,   -73.91307856842978, 40.669334561930114 ,Brooklyn,Medium,00:00:00
N/A,   -73.95475091689498, 40.587543404851914 ,Brooklyn,Medium,00:00:00
N/A,   -74.01511472616954, 40.675465596883406 ,Brooklyn,Medium,00:00:00
N/A,   -73.98960330219742, 40.702861527150034 ,Brooklyn,Medium,00:00:00
N/A,   -74.01155687409947, 40.70463665187377 ,Manhattan,Medium,00:00:00
N/A,   -74.01286204592034, 40.70634164448271 ,Manhattan,Medium,00:00:00
N/A,   -73.98219706247882, 40.77181340301189 ,Manhattan,Medium,00:00:00
N/A,   -74.01009312926121, 40.71590455900424 ,Manhattan,Medium,00:00:00
N/A,   -73.97713579908014, 40.779680827631346 ,Manhattan,Medium,00:00:00
N/A,   -73.98936305063111, 40.71898935935359 ,Manhattan,Medium,00:00:00
N/A,   -73.99265748471082, 40.735599264238296 ,Manhattan,Medium,00:00:00
N/A,   -73.97665547944715, 40.75169473512389 ,Manhattan,Medium,00:00:00
N/A,   -73.99441204702926, 40.731436017707075 ,Manhattan,Medium,00:00:00
N/A,   -73.98861503057542, 40.75884828352131 ,Manhattan,Medium,00:00:00
N/A,   -73.97514418621735, 40.76135361091178 ,Manhattan,Medium,00:00:00
N/A,   -73.99451531515767, 40.71493552371377 ,Manhattan,Medium,00:00:00
N/A,   -74.0084036486757, 40.71055376746076 ,Manhattan,Medium,00:00:00
N/A,   -74.00451806937401, 40.70806272095773 ,Manhattan,Medium,00:00:00
N/A,   -73.96888735867235, 40.76126460795227 ,Manhattan,Medium,00:00:00
N/A,   -73.9656851267853, 40.77144062263457 ,Manhattan,Medium,00:00:00
N/A,   -73.99134284997088, 40.74999638706657 ,Manhattan,Medium,00:00:00
N/A,   -74.01257537541981, 40.70835161274037 ,Manhattan,Medium,00:00:00
N/A,   -74.01098647762808, 40.70733537559067 ,Manhattan,Medium,00:00:00
N/A,   -73.94703781905247, 40.80842973710494 ,Manhattan,Medium,00:00:00
N/A,   -74.00384095197924, 40.74030539282896 ,Manhattan,Medium,00:00:00
N/A,   -73.93434784508338, 40.8495809444351 ,Manhattan,Medium,00:00:00
N/A,   -73.98934552114228, 40.75045405486474 ,Manhattan,Medium,00:00:00
N/A,   -73.98335689692979, 40.75284360634036 ,Manhattan,Medium,00:00:00
N/A,   -73.98017962622333, 40.75733848638993 ,Manhattan,Medium,00:00:00
N/A,   -73.96829307507049, 40.755190220332366 ,Manhattan,Medium,00:00:00
N/A,   -73.97053303866996, 40.756137585644176 ,Manhattan,Medium,00:00:00
N/A,   -73.97213382742112, 40.75681083516385 ,Manhattan,Medium,00:00:00
N/A,   -73.97385284104773, 40.75753624831216 ,Manhattan,Medium,00:00:00
N/A,   -73.97536263666144, 40.75817343083521 ,Manhattan,Medium,00:00:00
N/A,   -73.97697246269053, 40.75885135958745 ,Manhattan,Medium,00:00:00
N/A,   -73.98019868261785, 40.76021178450935 ,Manhattan,Medium,00:00:00
N/A,   -73.98303507483828, 40.76140611887666 ,Manhattan,Medium,00:00:00
